"Election","HINDI","Jurisdiction","AbsenteeApplications","BallotsSent","BallotsReturned","InPersonAbsentee"
"2020 General Election","72024","TOWN OF MILLADORE - WOOD COUNTY","112","112","94","17"
"2020 General Election","72026","TOWN OF PORT EDWARDS - WOOD COUNTY","247","234","189","0"
"2020 General Election","72028","TOWN OF REMINGTON - WOOD COUNTY","24","23","22","0"
"2020 General Election","72030","TOWN OF RICHFIELD - WOOD COUNTY","277","277","255","31"
"2020 General Election","72032","TOWN OF ROCK - WOOD COUNTY","155","155","119","18"
"2020 General Election","72034","TOWN OF RUDOLPH - WOOD COUNTY","199","199","186","54"
"2020 General Election","72036","TOWN OF SARATOGA - WOOD COUNTY","1656","1656","1561","746"
"2020 General Election","72038","TOWN OF SENECA - WOOD COUNTY","285","285","252","78"
"2020 General Election","72040","TOWN OF SHERRY - WOOD COUNTY","129","129","118","11"
"2020 General Election","72042","TOWN OF SIGEL - WOOD COUNTY","134","134","124","13"
"2020 General Election","72044","TOWN OF WOOD - WOOD COUNTY","154","150","121","20"
"2020 General Election","72100","VILLAGE OF ARPIN - WOOD COUNTY","34","34","31","0"
"2020 General Election","72101","VILLAGE OF AUBURNDALE - WOOD COUNTY","98","98","94","0"
"2020 General Election","72106","VILLAGE OF BIRON - WOOD COUNTY","228","228","213","109"
"2020 General Election","72122","VILLAGE OF HEWITT - WOOD COUNTY","171","171","156","34"
"2020 General Election","72151","VILLAGE OF MILLADORE - MULTIPLE COUNTIES","7","0","0",""
"2020 General Election","72171","VILLAGE OF PORT EDWARDS - WOOD COUNTY","469","469","435","169"
"2020 General Election","72178","VILLAGE OF RUDOLPH - WOOD COUNTY","88","88","80","32"
"2020 General Election","72186","VILLAGE OF VESPER - WOOD COUNTY","71","71","64","12"
"2020 General Election","72251","CITY OF MARSHFIELD - MULTIPLE COUNTIES","5889","5885","5614","1696"
"2020 General Election","72261","CITY OF NEKOOSA - WOOD COUNTY","474","470","429","0"
"2020 General Election","72271","CITY OF PITTSVILLE - WOOD COUNTY","154","154","147","62"
"2020 General Election","72291","CITY OF WISCONSIN RAPIDS - WOOD COUNTY","5792","5781","5429","2398"
"2020 General Election","99999","TOTAL","2073339","2068114","1952473","651003"
